SE1700,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE1701,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE1702,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE1711,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE1712,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE1798,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE1799,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE1800,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE1801,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE1802,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE1813,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE1814,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE1898,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE1899,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE1900,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE1901,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE1902,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE1915,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE1916,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE1998,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE1999,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE2000,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2001,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE2002,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2005,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2006,duration,credit,,,,,,,CurrentYearNonConsolidatedDuration
SE2008,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2009,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2011,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2012,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2013,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2014,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2015,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2016,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2098,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2099,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SE2100,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2101,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SE2102,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SE2105,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2106,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2108,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SE2109,duration,,,,,,,,CurrentYearNonConsolidatedDuration
