SS1599,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS1600,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS1601,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS1602,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS1698,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1699,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS1700,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS1701,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS1702,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS1711,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1712,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1798,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1799,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS1800,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS1801,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS1802,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS1813,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1814,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1898,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1899,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS1900,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS1901,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS1902,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS1915,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1916,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1998,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS1999,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS2000,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2001,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS2002,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2005,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2006,duration,credit,,,,,,,CurrentYearNonConsolidatedDuration
SS2008,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2009,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2011,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2012,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2013,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2014,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2015,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2016,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2098,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2099,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS2100,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2101,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS2102,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2105,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2106,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2108,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2109,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2111,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2112,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2113,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2114,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2115,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2116,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2198,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2199,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS2200,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2201,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS2202,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2207,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2208,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2209,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2298,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2299,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS2300,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2301,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS2302,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2303,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2304,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2305,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2306,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2307,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2308,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2309,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2398,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2399,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS2400,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2500,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2501,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS2502,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2510,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2598,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2599,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS2600,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2601,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS2602,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2610,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2698,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2699,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS2700,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2701,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS2702,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2710,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2798,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2799,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS2800,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2801,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS2802,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2810,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2898,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2899,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS2900,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2901,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS2902,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS2910,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2998,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS2999,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS3000,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS3001,instant,,,,,,,,Prior1YearNonConsolidatedInstant
SS3002,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS3005,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3010,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3098,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3099,instant,,,,,,,,CurrentYearNonConsolidatedInstant
SS3100,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS3101,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS3102,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS3103,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3104,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3105,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3106,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3107,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3108,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3109,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3110,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3198,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS3199,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
