NT0523,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0524,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0525,instant,,,,,,,,Prior1YearNonConsolidatedInstant
NT0526,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0527,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0528,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0529,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0530,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0531,instant,,,,,,,,Prior1YearNonConsolidatedInstant
NT0532,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0533,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0534,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0535,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0536,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0537,instant,,title,,,,,,CurrentYearNonConsolidatedInstant
NT0538,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0539,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0540,instant,,,,,,,,Prior1YearNonConsolidatedInstant
NT0541,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0542,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0543,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0544,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0545,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0546,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0547,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0548,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0549,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0550,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0551,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0552,,,title,tuple,,,,,
NT0553,instant,,,,NT0552,NT0552,0,,CurrentYearNonConsolidatedInstant
NT0554,instant,,,,NT0552,NT0552,0,,CurrentYearNonConsolidatedInstant
NT0555,instant,,,,NT0552,NT0552,0,,CurrentYearNonConsolidatedInstant
NT0556,instant,,,,NT0552,NT0552,0,,CurrentYearNonConsolidatedInstant
NT0557,instant,,,,NT0552,NT0552,0,,CurrentYearNonConsolidatedInstant
NT0558,instant,,,,NT0552,NT0552,0,,CurrentYearNonConsolidatedInstant
NT0559,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0560,,,title,tuple,,,,,
NT0561,instant,,,,NT0560,NT0560,0,,CurrentYearNonConsolidatedInstant
NT0562,instant,,,,NT0560,NT0560,0,,CurrentYearNonConsolidatedInstant
NT0563,instant,,,,NT0560,NT0560,0,,CurrentYearNonConsolidatedInstant
NT0564,instant,,,,NT0560,NT0560,0,,CurrentYearNonConsolidatedInstant
NT0565,instant,,,,NT0560,NT0560,0,,CurrentYearNonConsolidatedInstant
NT0566,instant,,,,NT0560,NT0560,0,,CurrentYearNonConsolidatedInstant
NT0567,instant,,,,NT0560,NT0560,0,,CurrentYearNonConsolidatedInstant
NT0568,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0569,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0570,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0571,,,title,tuple,,,,,
NT0572,instant,,,,NT0571,NT0571,0,,CurrentYearNonConsolidatedInstant
NT0573,instant,,,,NT0571,NT0571,0,,CurrentYearNonConsolidatedInstant
NT0574,instant,,,,NT0571,NT0571,0,,CurrentYearNonConsolidatedInstant
NT0575,instant,,,,NT0571,NT0571,0,,CurrentYearNonConsolidatedInstant
NT0576,instant,,,,NT0571,NT0571,0,,CurrentYearNonConsolidatedInstant
NT0577,instant,,,,NT0571,NT0571,0,,CurrentYearNonConsolidatedInstant
NT0578,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0579,,,title,tuple,,,,,
NT0580,instant,,,,NT0579,NT0579,0,,CurrentYearNonConsolidatedInstant
NT0581,instant,,,,NT0579,NT0579,0,,CurrentYearNonConsolidatedInstant
NT0582,instant,,,,NT0579,NT0579,0,,CurrentYearNonConsolidatedInstant
NT0583,instant,,,,NT0579,NT0579,0,,CurrentYearNonConsolidatedInstant
NT0584,instant,,,,NT0579,NT0579,0,,CurrentYearNonConsolidatedInstant
NT0585,instant,,,,NT0579,NT0579,0,,CurrentYearNonConsolidatedInstant
NT0586,instant,,,,NT0579,NT0579,0,,CurrentYearNonConsolidatedInstant
NT0601,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0602,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0603,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0701,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0702,instant,,,,,,,,CurrentYearNonConsolidatedInstant
NT0703,instant,,,,,,,,CurrentYearNonConsolidatedInstant
